actor2	Caged	ChrisLundquist	ElizabethN	Foggybtmgirl	Haacked	ScarlettSparks	TwP	VxJasonxV	achiu	adelcambre	aden	afeld	alanjrogers	alindeman	alysonla	amateurhuman	ammeep	andrew	antonio	arfon	aroben	arrbee	asenchi	atmos	azizshamim	balevine	benbalter	benogle	bernars	bhuga	bkeepers	bleikamp	bleything	bnferguson	briandoll	brianmario	brntbeer	calavera	cameronmcefee	charliesome	chrishunt	chrissiebrodigan	ckj	cobyism	connors	d2fn	danishkhan	dannygreg	davideg	dbussink	defunkt	derekgr	devinreams	dewski	dgoodlad	dgraham	dice	dreww	dsorkin	eanakashima	emilyistoofunky	erebor	fabianperez	fooforge	furyus	gjtorikian	grantr	gregose	holman	hoolio	izuzak	jakeboxer	jakedouglas	jameswhite	jammur	jasonlong	jasonrudolph	jbarnette	jch	jdennes	jdmaturen	jdpace	jessephus	jesseplusplus	jfryman	jglovier	jgreet	jhosman	jlord	jmickeyd	jnewland	jnunemaker	joewilliams	johndbritton	jonmagic	jonrohan	jordanmccullough	josh	joshaber	joshvera	jroll	jspahrsummers	jssjr	juliamae	kansaichris	kasima	kcshearon	kdaigle	keithduncan	kevinsawicki	kneath	leehuffman	leereilly	leongersing	lildude	lizclink	lukehefson	lynnwallenstein	maddox	mastahyeti	matthewmccullough	mattyoho	mcolyer	mdiep	mdo	meatcoder	mhagger	michaeltwofish	mikemcquaid	mislav	mojombo	mtodd	muan	mutle	nakajima	nathansobo	neverett	newmerator	nickh	niik	nuclearsandwich	orderedlist	paulcbetts	peff	pengwynn	petros	piki	pjhyett	probablycorey	ptoomey3	rachelmyers	raganwald	rathjenc	rick	robrix	rodjek	rothsa	rsanheim	rsese	rtomayko	rubiojr	rubyist	sachinr	samlambert	sbryant	schacon	scottjg	shawndavenport	shayfrendt	shiftkey	simonsj	skalnik	sophiec	southgate	spicycode	spraints	sroberts	sshirokov	steveward	sundaykofax	talniv	tclem	technicalpickles	technoweenie	tekkub	thedaniel	tjl2	tmm1	tnm	tobiasahlin	vmg	watsonian	ymendel	zerowidth
Caged	0.0	36.0	0.0	0.0	67.0	0.0	12.0	15.0	15.0	6.0	0.0	63.0	40.0	222.0	20.0	3.0	0.0	15.0	0.0	3960.0	128.0	4626.0	23.0	767.0	27.0	1.0	51.0	524.0	0.0	129.0	1150.0	2.0	10.0	9.0	37.0	344.0	0.0	102.0	72.0	236.0	0.0	0.0	0.0	52.0	18.0	0.0	12.0	52.0	0.0	0.0	23.0	23.0	1.0	2.0	0.0	10.0	6.0	15.0	6.0	1.0	0.0	0.0	30.0	1.0	0.0	2395.0	6.0	13.0	56.0	0.0	2801.0	0.0	70.0	0.0	6.0	0.0	1846.0	385.0	0.0	917.0	0.0	155.0	0.0	0.0	0.0	297.0	6.0	0.0	46.0	0.0	35.0	0.0	0.0	0.0	2.0	16.0	0.0	5179.0	56.0	20.0	0.0	250.0	0.0	42.0	5.0	1.0	0.0	171.0	16.0	4027.0	35.0	0.0	151.0	3.0	0.0	0.0	1.0	0.0	38.0	57.0	62.0	5.0	1.0	0.0	42.0	0.0	3.0	10.0	0.0	92.0	2.0	23.0	15.0	0.0	0.0	449.0	0.0	0.0	2.0	0.0	1.0	15.0	102.0	124.0	5779.0	156.0	78.0	0.0	1043.0	6.0	0.0	0.0	0.0	668.0	29.0	54.0	0.0	1223.0	46.0	104.0	0.0	0.0	15.0	0.0	17.0	10.0	380.0	0.0	3.0	62.0	0.0	103.0	0.0	0.0	8.0	27.0	30.0	57.0	0.0	0.0	0.0	228.0	4890.0	3207.0	33.0	65.0	0.0	30.0	8987.0	276.0	3325.0	55.0	94.0	14.0
ChrisLundquist	36.0	0.0	0.0	0.0	21.0	0.0	0.0	24.0	60.0	12.0	0.0	228.0	0.0	12.0	0.0	0.0	0.0	60.0	4.0	0.0	471.0	0.0	101.0	5057.0	108.0	0.0	8.0	0.0	0.0	1132.0	8.0	60.0	0.0	0.0	0.0	8.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	21.0	0.0	84.0	48.0	4.0	0.0	0.0	0.0	60.0	0.0	648.0	0.0	0.0	0.0	8.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	4288.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	24.0	0.0	384.0	4.0	0.0	4.0	0.0	12.0	0.0	0.0	0.0	60.0	0.0	4767.0	223.0	8.0	0.0	0.0	0.0	24.0	504.0	124.0	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	21.0	0.0	0.0	3423.0	0.0	12.0	12.0	0.0	60.0	0.0	48.0	0.0	48.0	0.0	63.0	0.0	0.0	195.0	0.0	0.0	0.0	16.0	108.0	132.0	0.0	0.0	0.0	0.0	19592.0	21.0	0.0	420.0	0.0	21.0	24.0	0.0	0.0	0.0	60.0	36.0
ElizabethN	0.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	948.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	27.0	0.0	0.0	3.0	0.0	3.0	21.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2427.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	12.0	0.0
Foggybtmgirl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haacked	67.0	21.0	3.0	0.0	0.0	0.0	13.0	29.0	1.0	30.0	1.0	88063.0	1258.0	1601.0	32.0	36.0	50292.0	12.0	261.0	1415.0	91716.0	87965.0	1.0	1261.0	90.0	15.0	117025.0	0.0	0.0	21988.0	412.0	6.0	51.0	56.0	28.0	1210.0	208.0	646.0	116.0	591.0	0.0	18.0	0.0	31601.0	42.0	4.0	0.0	932.0	0.0	0.0	25076.0	41.0	23.0	9.0	0.0	16.0	2.0	24.0	0.0	0.0	0.0	72.0	86.0	110.0	0.0	9408.0	8.0	102.0	11797.0	2164.0	4316.0	54.0	114.0	89.0	89.0	13528.0	5210.0	920.0	3.0	1386.0	0.0	248.0	0.0	0.0	1.0	989.0	38.0	629.0	761.0	0.0	21.0	1.0	0.0	17.0	1265.0	6058.0	446.0	1683.0	4096.0	128.0	36.0	39868.0	0.0	32.0	332.0	0.0	629.0	264.0	121.0	597.0	60.0	0.0	382.0	45.0	0.0	9.0	27.0	28.0	34.0	298.0	1766.0	8.0	0.0	158.0	203.0	0.0	45.0	16.0	54.0	209.0	10276.0	16.0	43.0	0.0	11.0	15.0	0.0	0.0	624.0	49661.0	55.0	3.0	337464.0	2839.0	19466.0	6.0	114.0	36.0	87.0	11.0	0.0	2102.0	0.0	682.0	692.0	18.0	0.0	767.0	84.0	939.0	0.0	0.0	1.0	0.0	8.0	8195.0	3749.0	306.0	3.0	1540664.0	3.0	20.0	0.0	0.0	2.0	15917.0	523.0	83.0	18.0	0.0	6222.0	38024.0	811.0	6469.0	11955.0	4785.0	0.0	53.0	4578.0	528.0	50184.0	88.0	2020.0	8.0
ScarlettSparks	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31806.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	8649.0	1953.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3627.0	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5301.0	0.0	0.0	0.0	0.0	11997.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TwP	12.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	1301.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	220.0	0.0	0.0	2.0	13.0	100.0	0.0	34.0	0.0	85.0	0.0	0.0	0.0	7.0	6.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	8.0	0.0	21.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1509.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	22.0	393.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	6.0	24.0	0.0	0.0	3.0	0.0	0.0	0.0	179.0	0.0	18.0	0.0	18.0	2.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	10.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	4.0	2.0	0.0	4.0	0.0	0.0	0.0	3017.0	0.0	8.0	0.0	4.0	0.0
VxJasonxV	15.0	24.0	15.0	0.0	29.0	0.0	0.0	0.0	0.0	112.0	5.0	109.0	0.0	120.0	14.0	0.0	0.0	96.0	35.0	87.0	66.0	1.0	12.0	12465.0	0.0	13.0	27.0	0.0	0.0	239.0	2.0	90.0	75.0	0.0	0.0	36.0	15.0	770.0	71.0	679.0	1.0	0.0	0.0	135.0	0.0	0.0	1.0	15.0	1.0	43.0	370.0	67.0	12.0	63.0	84.0	11.0	0.0	78.0	1.0	0.0	0.0	19.0	52.0	0.0	1.0	1541.0	6.0	47.0	6441.0	0.0	1204.0	0.0	42.0	10.0	2.0	0.0	1108.0	246.0	147.0	513.0	0.0	321.0	0.0	13.0	5.0	53.0	16.0	0.0	69.0	168.0	191.0	5.0	0.0	20.0	35.0	17.0	0.0	179.0	0.0	0.0	0.0	75.0	0.0	24.0	3.0	0.0	0.0	5604.0	31.0	186.0	24.0	76.0	149.0	0.0	19.0	0.0	0.0	0.0	2398.0	86.0	2.0	5.0	97.0	0.0	22.0	0.0	36.0	7.0	225385.0	2761.0	1.0	31.0	1.0	0.0	10.0	6.0	2.0	0.0	1.0	0.0	40.0	0.0	12.0	0.0	3621.0	0.0	0.0	0.0	0.0	26.0	12.0	9.0	0.0	67.0	36.0	0.0	1.0	155.0	24.0	662.0	19.0	0.0	6.0	0.0	264.0	6.0	97.0	114.0	5.0	12.0	15.0	36.0	0.0	0.0	0.0	39.0	161.0	0.0	0.0	0.0	0.0	132.0	4106.0	38618.0	126.0	522.0	0.0	332.0	27.0	165.0	11.0	1002.0	54.0	35.0
achiu	15.0	60.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	98.0	0.0	6.0	0.0	0.0	0.0	26.0	0.0	0.0	38.0	0.0	48.0	563.0	45.0	0.0	4.0	0.0	0.0	50.0	5.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	6.0	813.0	422.0	0.0	0.0	3.0	0.0	0.0	20.0	0.0	0.0	0.0	8.0	11.0	0.0	5.0	0.0	822.0	0.0	9.0	10.0	0.0	0.0	0.0	1.0	2.0	0.0	12.0	0.0	0.0	934.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	59.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	10.0	0.0	55.0	5.0	0.0	1.0	0.0	6.0	0.0	37.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	30.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	25.0	7.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	37.0	28.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	676.0	0.0	18.0	0.0	0.0	0.0	23.0	0.0	22.0	4.0	0.0	25.0	0.0	20.0	6.0	0.0	0.0	0.0	1.0	0.0	56.0	0.0	0.0	11.0	0.0	45.0	55.0	0.0	0.0	0.0	0.0	8140.0	0.0	6.0	30.0	0.0	4.0	14.0	161.0	11.0	2.0	25.0	15.0
adelcambre	6.0	12.0	0.0	0.0	30.0	0.0	0.0	112.0	12.0	0.0	0.0	332.0	80.0	127.0	0.0	0.0	0.0	82.0	12.0	6.0	269.0	9607.0	6.0	266.0	9.0	8.0	79.0	227.0	0.0	95.0	2268.0	0.0	38.0	3.0	1.0	2965.0	139.0	418.0	109.0	36748.0	21.0	0.0	6.0	236.0	0.0	0.0	4.0	38.0	0.0	0.0	320.0	12.0	7.0	10.0	42.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	12.0	0.0	0.0	1595.0	1.0	0.0	469.0	0.0	380.0	45.0	98.0	0.0	0.0	0.0	1.0	213.0	3404.0	40.0	0.0	0.0	0.0	6.0	0.0	65.0	86.0	0.0	2.0	6.0	11.0	0.0	0.0	29.0	36.0	43.0	290.0	411.0	112.0	14.0	138.0	248.0	0.0	4.0	0.0	0.0	0.0	17.0	11.0	942.0	0.0	0.0	6.0	6.0	0.0	0.0	1.0	0.0	18.0	112.0	373.0	14.0	49.0	18.0	126.0	0.0	24.0	46.0	112732.0	73857.0	0.0	206.0	7.0	7.0	0.0	398.0	0.0	0.0	116.0	0.0	47.0	5.0	94.0	252.0	414.0	0.0	12.0	0.0	645.0	6.0	6.0	37.0	0.0	112.0	70.0	0.0	0.0	833.0	0.0	422.0	9.0	0.0	5.0	0.0	13.0	0.0	1320.0	0.0	200.0	29.0	0.0	150.0	0.0	0.0	56.0	180.0	87.0	11.0	0.0	0.0	0.0	38.0	1628.0	248.0	78.0	53.0	0.0	40.0	1380.0	8.0	12493.0	7.0	170.0	15.0
