	actor	event_count	event_count_log
0	eclipse	2381578	6.376864809830333
1		1493111	6.174092094996003
2	mmazur	468988	5.671161730560593
3	Try-Git	325875	5.513051044176385
4	KhanBugz	315910	5.499563373534403
5	nyarla	292477	5.4660917194239245
6	chapuni	283080	5.451909186933221
7	tbonfort	250799	5.399325800518536
8	boost-jenkins	221170	5.3447262179398605
9	ideatest1	218206	5.338866688191213
10	openstack-gerrit	170320	5.231265648430266
11	githumtime	163830	5.214393431255206
12	wp-plugins-user	154249	5.188222357172769
13	techradical	154234	5.188180121994599
14	asfgit	147338	5.168314770345396
15	wmfgerrit	139017	5.143067912158774
16	gugod	137046	5.136866364185775
17	wandjenkins	118104	5.072264606745687
18	mapserver-trac-importer	117210	5.0689646659444465
19	mirror-updates	114673	5.059461174384676
20	cm-gerrit	109469	5.039291150819621
21	h4ck3rm1k3	103489	5.014894190438522
22	hcilab	101578	5.006799657621199
23	lukeis	98468	4.9932951169812725
24	s4l1h	98126	4.9917840956617825
25	brianchandotcom	83732	4.922891464773208
26	aruiz	81630	4.91184979649942
27	bcomdlc	77349	4.888454703332228
28	dsabanin	76570	4.884058647093938
29	ehsan	76289	4.882461922179049
30	beneater	72654	4.861259529578378
31	antoniovazquezblanco	72613	4.8610143799679255
32	yahoo-bot	70644	4.849075281859794
33	cato-	66367	4.821952186590476
34	hwine	64522	4.809707820829474
35	dellcloudedge-jenkins	63497	4.802753206957748
36	lukaseder	62558	4.796282855735164
37	lalyos	58658	4.768327251215769
38	circle-api-test	56359	4.750963278647134
39	freebsd	56185	4.749620385199933
40	travisbot	54995	4.740323206382993
41	43one	53749	4.7303703886151425
42	DeepDiver1975	52700	4.721810615212546
43	lionzeye	52330	4.7187507347396656
44	choksi81	51993	4.715944876980737
45	gaborcsardi	50887	4.706606848164508
46	adamv	50263	4.701248406352915
47	bors	49708	4.696426289664097
48	coveralls	49418	4.6938851650535165
49	dirk-thomas	49400	4.693726948923647
50	fabpot	48471	4.685481979698041
51	AsherBond	47849	4.6798728658533
52	stof	47445	4.676190450971404
53	diversify-exp-user	47235	4.674263919692225
54	gnomesysadmins	47166	4.673629046659358
55	openshift-bot	46529	4.667723718788397
56	xndcn	46378	4.666312016236164
57	fxsapa	45866	4.66149086671416
58	hughht5	45526	4.658259494054264
59	jessicah	45300	4.656098202012831
60	DannyBenassi	43314	4.636628292196984
61	dapi	42937	4.632831697087637
62	CristiRo7	42900	4.632457292184724
63	ericvaandering	41465	4.61768166971834
64	threejs-cn	40937	4.612116012943381
65	apottere	40112	4.603274316614141
66	k-okada	39673	4.598495042273587
67	scipy-gitbot	38267	4.582824416378794
68	SergeyZh	38239	4.582506526382291
69	mocleiri	37799	4.57748031041324
70	visionmedia	37757	4.576997479926748
71	snoopycrimecop	37617	4.575384157099592
72	rosbuild	36019	4.556531651278891
73	svn2github	35689	4.552534379265095
74	goneri	35654	4.552108260147983
75	shopp-lighthouse-import	35600	4.551449997972875
76	govuk-ci	35361	4.548524538251131
77	llvm-mirror	34721	4.540592224805946
78	joebell	34343	4.535838229862113
79	pld-linux	34238	4.534508387595873
80	elgg-gitbot	34135	4.533199907187696
81	sbinet	34041	4.532002309582434
82	damithc	33566	4.5258995902372385
83	travis4all	33460	4.524525936626376
84	jacknagel	33295	4.522379019228564
85	cottsay	33040	4.5190400386483445
86	radar	32844	4.516456043457748
87	zx2c4	32358	4.509981670671806
88	jboss-as-pull-request	32240	4.508395033133053
89	sindresorhus	32117	4.5067349717157965
90	yegor256	31795	4.502358829319633
91	trel	31569	4.499260825118054
92	tarsius	31523	4.49862754198525
93	cvan	31235	4.49464151028204
94	kwrobot	30539	4.484854811974092
95	eidogram	30480	4.484014962667563
96	gregnietsky	29525	4.470189906285553
97	mpdehaan	29495	4.469748400505166
98	gnuhub	29367	4.4678595832272
99	vrabaud	29196	4.465323354978444
100	doshea	29080	4.463594402187001
101	nebkat	29013	4.46259263800925
102	thatch45	28785	4.459166233791152
103	taylorotwell	28443	4.453975401295882
104	dineshkummarc	28062	4.448118620292147
105	slide	28022	4.447499128735851
106	skirpichev-test	27903	4.445650899094502
107	springmeyer	27871	4.44515255129998
108	bitdeli-chef	27785	4.443810401121398
109	stonier	27311	4.43633760224632
110	trac2github	27301	4.436178554972184
111	riskindex	27258	4.43549398719827
112	rcbjenkins	27153	4.433817819614314
113	ns-codereview	27068	4.432456167811432
114	pjackson28	26586	4.4246530004152556
115	juggalomc	26409	4.421751956575941
116	khole	26226	4.418732056873297
117	rafaelfranca	25852	4.412494147250635
118	weierophinney	25728	4.410406027068357
119	josevalim	25626	4.408680821810468
120	all4senses	25614	4.408477405187591
121	roojs	25392	4.404696909410773
122	Keithbsmiley	25046	4.398738376245611
123	isucan	24893	4.3960772391129534
124	sageb0t	24796	4.394381627679536
125	stuartw	24680	4.3923451553612045
126	nuxeojenkins	24647	4.391764065084441
127	realguess	24600	4.390935107103379
128	tmcw	24271	4.385087670255915
129	wd15	24218	4.384138274858716
130	entoo	24096	4.381944954520606
131	mitar	24078	4.381620410117482
132	thouis	23817	4.3768870566640485
133	scottgonzalez	23793	4.376449204597317
134	mon5	23763	4.375901268009488
135	dbu	23590	4.3727279408855955
136	JT5D	23412	4.369438515442143
137	H0TIR0N	23360	4.368472838440362
138	AmplabJenkins	23265	4.366703056869286
139	lh-import	23212	4.365712561892493
140	flexdigit	23207	4.365619002254503
141	asmeurer	23205	4.365581572755048
142	xeno-by	23109	4.363781152580866
143	jcrigby	23105	4.363705972854723
144	buildhive	23030	4.362293937964231
145	cichockimc	23024	4.36218077659253
146	isaacs	22985	4.361444508086328
147	gerrit-ovirt-org	22981	4.361368922743597
148	avsm	22951	4.360801612967852
149	brson	22950	4.36078268987328
150	citrix-openstack-build	22776	4.357477454138898
151	CloudDotCom	22712	4.356255379517801
152	cogent-buildbox	22661	4.355279070792133
153	chimney-sweeper	22637	4.354818870847722
154	jonathanong	22372	4.349704810656211
155	lsmith77	22223	4.346802686265524
156	bnoordhuis	22189	4.346137730160444
157	cmsbuild	22095	4.344294005898313
158	topcloud	22090	4.344195715871435
159	aokp-gerrit	22042	4.343250998054363
160	lingohubtest	21938	4.3411970321468285
161	giampaolo	21922	4.3408801734136455
162	equus12	21891	4.34026560097233
163	mpapis	21889	4.34022592125719
164	whit537	21884	4.340126706105432
165	Habbie	21797	4.3383967241962615
166	alexcrichton	21585	4.334152052992287
167	willdurand	21326	4.3289094048711885
168	gavinking	21290	4.328175661438323
169	michaelklishin	21287	4.328114460158389
170	rsdnru	21098	4.32424128799287
171	Ocramius	21083	4.323932408757994
172	Ratmir15	21063	4.323520227754337
173	demobox	20905	4.320250171886434
174	reduxionist	20818	4.318439004200192
175	jreback	20797	4.318000691817921
176	scala-jenkins	20752	4.317059958740005
177	steveklabnik	20727	4.316536447403556
178	mikemcquaid	20685	4.315655525231531
179	minrk	20661	4.315151337704982
180	nhcrpmsync	20561	4.313044233082023
181	wjwwood	20546	4.312727283778123
182	kou	20528	4.312346639030853
183	vmware-ac-gerrit	20518	4.312135025479961
184	circle-test-organization	20434	4.3103533890449945
185	shantanusharma	20170	4.304705898212766
186	shiftkey-tester	20134	4.303930064275368
187	XhmikosR	19895	4.298743943482407
188	PixieCode	19817	4.29703790937936
189	boegel	19756	4.29569901748951
190	Borkason	19731	4.2951490965789185
191	romainneutron	19661	4.293605603192818
192	nexedi	19632	4.292964545382929
193	dstockwell	19524	4.290568798984483
194	exo-swf	19499	4.290012339279541
195	astrofrog	19358	4.286860485522373
196	Seldaek	19352	4.286725855353823
197	markstory	19243	4.284272779857726
198	kripken	19228	4.283934113456609
199	gnudeep	19226	4.283888937976056
200	paulmillr	19212	4.2835725779669245
201	alma-dev	19195	4.283188116453424
202	geometryzen	19134	4.281805769626603
203	bikesharebot	19087	4.280737673504682
204	bootstraponline	19040	4.279666944048455
205	ashking	19015	4.279096329747602
206	sethvargo	19011	4.279004961844902
207	moovops	18979	4.2782733257981675
208	kuduautomation	18911	4.2767144946302915
209	timmmmyboy	18894	4.276323911020188
210	sbezborotest	18884	4.276093991759217
211	kisg	18864	4.275633787751014
212	axelstudios	18618	4.269933025967809
213	kaizhu256	18606	4.26965301662097
214	nicolaasmatthijs	18368	4.26406187071788
215	wladich	18366	4.264014579980978
216	houndci	18338	4.2633519683935654
217	greatfire	18260	4.26150077319828
218	mitchellh	18137	4.258565453000082
219	markjaquith	18107	4.257846501591155
220	mattn	18083	4.257270482298884
221	badwolf9	18068	4.256910081889356
222	AsteroidTrackerUpdateSystem	18002	4.255320757365109
223	jrmarino	17983	4.254862144280603
224	richardkchapman	17975	4.25466889905492
225	bigeasy	17921	4.253362239833068
226	balupton	17897	4.252780238095084
227	stefanpenner	17892	4.252658889500619
228	bl-test-account	17778	4.249882901863694
229	leofeyer	17776	4.249834041596793
230	v8	17736	4.248855680106431
231	ddelbondio	17735	4.248831192807962
232	timrdf	17643	4.2465724341217
233	dscho	17569	4.24474704283614
234	idor	17568	4.244722322769998
235	ktf	17518	4.243484522006458
236	davidfowl	17501	4.2430628648048065
237	dumganhar	17491	4.24281463978553
